ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,2016,0,Total,66835,16369,"Census Tract 32, New York County, NY",14000US36061003200
2016,2016,0,Total,207460,110580,"Census Tract 33, New York County, NY",14000US36061003300
2016,2016,0,Total,77254,10669,"Census Tract 34, New York County, NY",14000US36061003400
2016,2016,0,Total,48990,10856,"Census Tract 36.01, New York County, NY",14000US36061003601
2016,2016,0,Total,77778,21487,"Census Tract 36.02, New York County, NY",14000US36061003602
2016,2016,0,Total,145000,23352,"Census Tract 37, New York County, NY",14000US36061003700
2016,2016,0,Total,60450,13834,"Census Tract 38, New York County, NY",14000US36061003800
2016,2016,0,Total,158646,33840,"Census Tract 39, New York County, NY",14000US36061003900
2016,2016,0,Total,87276,16302,"Census Tract 40, New York County, NY",14000US36061004000
2016,2016,0,Total,76522,19442,"Census Tract 41, New York County, NY",14000US36061004100
2016,2016,0,Total,142500,31424,"Census Tract 42, New York County, NY",14000US36061004200
2016,2016,0,Total,69363,5365,"Census Tract 43, New York County, NY",14000US36061004300
2016,2016,0,Total,94000,7595,"Census Tract 44, New York County, NY",14000US36061004400
2016,2016,0,Total,140813,60524,"Census Tract 45, New York County, NY",14000US36061004500
2016,2016,0,Total,120319,35583,"Census Tract 47, New York County, NY",14000US36061004700
2016,2016,0,Total,112500,18067,"Census Tract 48, New York County, NY",14000US36061004800
2016,2016,0,Total,102161,12058,"Census Tract 49, New York County, NY",14000US36061004900
2016,2016,0,Total,126036,43832,"Census Tract 50, New York County, NY",14000US36061005000
2016,2016,0,Total,170865,28010,"Census Tract 52, New York County, NY",14000US36061005200
2016,2016,0,Total,129735,25584,"Census Tract 54, New York County, NY",14000US36061005400
2016,2016,0,Total,151234,22490,"Census Tract 55.01, New York County, NY",14000US36061005501
2016,2016,0,Total,112768,36867,"Census Tract 55.02, New York County, NY",14000US36061005502
2016,2016,0,Total,121507,38627,"Census Tract 56, New York County, NY",14000US36061005600
2016,2016,0,Total,138798,27534,"Census Tract 57, New York County, NY",14000US36061005700
2016,2016,0,Total,175625,72836,"Census Tract 58, New York County, NY",14000US36061005800
2016,2016,0,Total,113984,27709,"Census Tract 59, New York County, NY",14000US36061005900
2016,2016,0,Total,109167,10809,"Census Tract 60, New York County, NY",14000US36061006000
2016,2016,0,Total,115602,32590,"Census Tract 61, New York County, NY",14000US36061006100
2016,2016,0,Total,102866,14464,"Census Tract 62, New York County, NY",14000US36061006200
2016,2016,0,Total,120244,21440,"Census Tract 63, New York County, NY",14000US36061006300
2016,2016,0,Total,107043,12789,"Census Tract 64, New York County, NY",14000US36061006400
2016,2016,0,Total,101772,9544,"Census Tract 65, New York County, NY",14000US36061006500
2016,2016,0,Total,67612,14893,"Census Tract 66, New York County, NY",14000US36061006600
2016,2016,0,Total,93063,19067,"Census Tract 67, New York County, NY",14000US36061006700
2016,2016,0,Total,123388,22412,"Census Tract 68, New York County, NY",14000US36061006800
2016,2016,0,Total,209167,36862,"Census Tract 69, New York County, NY",14000US36061006900
2016,2016,0,Total,98036,17328,"Census Tract 70, New York County, NY",14000US36061007000
2016,2016,0,Total,127904,11686,"Census Tract 71, New York County, NY",14000US36061007100
2016,2016,0,Total,102045,16473,"Census Tract 72, New York County, NY",14000US36061007200
2016,2016,0,Total,96641,21513,"Census Tract 73, New York County, NY",14000US36061007300
2016,2016,0,Total,121217,30485,"Census Tract 74, New York County, NY",14000US36061007400
2016,2016,0,Total,126957,10610,"Census Tract 75, New York County, NY",14000US36061007500
2016,2016,0,Total,102153,25716,"Census Tract 76, New York County, NY",14000US36061007600
2016,2016,0,Total,122008,23010,"Census Tract 77, New York County, NY",14000US36061007700
2016,2016,0,Total,108306,23703,"Census Tract 78, New York County, NY",14000US36061007800
2016,2016,0,Total,90735,34468,"Census Tract 79, New York County, NY",14000US36061007900
2016,2016,0,Total,111802,24597,"Census Tract 80, New York County, NY",14000US36061008000
