UID,Borough,Name
956,Brooklyn,ERNIE
957,Manhattan,HARLEY
958,Manhattan,HERMAN
959,Bronx,PEPPER 
960,Staten Island,OAKLEY
961,Staten Island,GRIFFIN
962,Manhattan,KARMA
963,Staten Island,DARLA
964,Brooklyn,DARCY
965,Queens,ROCKY
966,Queens,KAISER
967,Manhattan,WHIDBEY
968,Brooklyn,FLASH 
969,Manhattan,FINLEY
970,Manhattan,ANELA
971,Manhattan,PENNY
972,Manhattan,HARRY 
973,Bronx,BLUE
974,Brooklyn,LUCY
975,Manhattan,SCOOTER
976,Queens,SASHA
977,Manhattan,CHESSIE
978,Manhattan,SASSY
979,Manhattan,JOJO
980,Manhattan,MINNIE
981,Brooklyn,BELLE 
982,Manhattan,PUCCINI
983,Queens,HERCULES
984,Manhattan,REESES
985,Manhattan,REX
986,Brooklyn,RILEY
987,Manhattan,LOKI
988,Manhattan,ANNIE 
989,Bronx,AZABACHE
990,Brooklyn,KINGSLEY
991,Manhattan,KITKAT
992,Manhattan,NACHO
993,Manhattan,MURPHY
994,Manhattan,BUBBA
995,Queens,DESI
996,Manhattan,YODA
997,Manhattan,COOKIE
998,Brooklyn,LOLA
999,Brooklyn,LOLA
1000,Bronx,CHELSEA
1001,Queens,CHASE
1002,Manhattan,RUFUS
1003,Queens,CHEWY 
1004,Queens,CHASE
1005,Brooklyn,SHULA
1006,Manhattan,LUNA
1007,Manhattan,BARCLAY
1008,Manhattan,GRACE
1009,Manhattan,PAX
1010,Brooklyn,RUFUS
1011,Brooklyn,HUSOS
1012,Queens,MAX
1013,Staten Island,MAGGIE
1014,Queens,HAZEL 
1015,Manhattan,HARPER
1016,Staten Island,BENTLY
1017,Staten Island,BISCUIT 
1018,Brooklyn,TOBY
1019,Manhattan,TOBIAS
