UID,Borough,BirthMonth
1294,Brooklyn,12
1295,Brooklyn,5
1296,Brooklyn,1
1297,Manhattan,5
1298,Manhattan,1
1299,Brooklyn,8
1300,Manhattan,1
1301,Manhattan,1
1302,Manhattan,12
1303,Manhattan,7
1304,Brooklyn,1
1305,Manhattan,8
1306,Manhattan,12
1307,Brooklyn,1
1308,Brooklyn,6
1309,Queens,8
1310,Brooklyn,12
1311,Brooklyn,9
1312,Manhattan,12
1313,Manhattan,10
1314,Brooklyn,12
1315,Brooklyn,12
1316,Manhattan,10
1317,Manhattan,6
1318,Manhattan,7
1319,Manhattan,8
1320,Brooklyn,12
1321,Manhattan,12
1322,Manhattan,1
1323,Manhattan,11
1324,Bronx,5
1325,Queens,10
1326,Queens,10
1327,Queens,1
1328,Manhattan,1
1329,Manhattan,9
1330,Manhattan,1
1331,Brooklyn,12
1332,Manhattan,6
1333,Brooklyn,10
1334,Brooklyn,12
1335,Brooklyn,9
1336,Manhattan,11
1337,Manhattan,1
1338,Brooklyn,10
1339,Brooklyn,8
1340,Manhattan,10
1341,Brooklyn,10
1342,Manhattan,11
1343,Queens,1
1344,Brooklyn,9
1345,Manhattan,4
1346,Staten Island,9
1347,Queens,10
1348,Bronx,12
1349,Manhattan,2
1350,Brooklyn,6
1351,Manhattan,11
1352,Manhattan,6
1353,Brooklyn,8
1354,Manhattan,9
1355,Queens,6
1356,Manhattan,8
1357,Brooklyn,6
1358,Brooklyn,8
1359,Brooklyn,8
1360,Manhattan,12
1361,Brooklyn,9
1362,Manhattan,5
1363,Queens,11
1364,Manhattan,12
1365,Brooklyn,11
1366,Manhattan,1
1367,Manhattan,2
1368,Manhattan,8
1369,Queens,1
1370,Brooklyn,12
1371,Brooklyn,12
1372,Manhattan,9
1373,Brooklyn,10
1374,Manhattan,11
1375,Queens,10
1376,Queens,2
1377,Manhattan,7
1378,Manhattan,1
1379,Queens,11
1380,Manhattan,7
1381,Manhattan,8
1382,Queens,8
1383,Manhattan,11
1384,Manhattan,8
